study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB21776	SAMEA104726341	ERX3687192	ERR3697652	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/002/ERR3697652/ERR3697652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/002/ERR3697652/ERR3697652_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697652/1_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697652/1_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/002/ERR3697652
PRJEB21776	SAMEA104726342	ERX3687193	ERR3697653	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/003/ERR3697653/ERR3697653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/003/ERR3697653/ERR3697653_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697653/2_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697653/2_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/003/ERR3697653
PRJEB21776	SAMEA104726343	ERX3687194	ERR3697654	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/004/ERR3697654/ERR3697654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/004/ERR3697654/ERR3697654_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697654/3_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697654/3_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/004/ERR3697654
PRJEB21776	SAMEA104726344	ERX3687195	ERR3697655	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/005/ERR3697655/ERR3697655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/005/ERR3697655/ERR3697655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697655/4_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697655/4_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/005/ERR3697655
PRJEB21776	SAMEA104726345	ERX3687196	ERR3697656	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/006/ERR3697656/ERR3697656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/006/ERR3697656/ERR3697656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697656/5_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697656/5_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/006/ERR3697656
PRJEB21776	SAMEA104726346	ERX3687197	ERR3697657	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/007/ERR3697657/ERR3697657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/007/ERR3697657/ERR3697657_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697657/6_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697657/6_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/007/ERR3697657
PRJEB21776	SAMEA104726347	ERX3687198	ERR3697658	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/008/ERR3697658/ERR3697658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/008/ERR3697658/ERR3697658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697658/7_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697658/7_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/008/ERR3697658
PRJEB21776	SAMEA104726348	ERX3687199	ERR3697659	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/009/ERR3697659/ERR3697659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/009/ERR3697659/ERR3697659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697659/8_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697659/8_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/009/ERR3697659
PRJEB21776	SAMEA104726349	ERX3687200	ERR3697660	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/000/ERR3697660/ERR3697660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/000/ERR3697660/ERR3697660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697660/9_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697660/9_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/000/ERR3697660
PRJEB21776	SAMEA104726350	ERX3687201	ERR3697661	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/001/ERR3697661/ERR3697661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/001/ERR3697661/ERR3697661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697661/10_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697661/10_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/001/ERR3697661
